,Team,year,Distance,Frequency,Win,ORtg
873,Detroit Pistons,2013,10-16 ft,0.072,0.354,104.57
874,Detroit Pistons,2013,Over 16 ft,0.169,0.354,104.57
875,Detroit Pistons,2013,3P,0.217,0.354,104.57
876,Detroit Pistons,2014,0-3 ft,0.356,0.354,106.6
877,Detroit Pistons,2014,3-10 ft,0.197,0.354,106.6
878,Detroit Pistons,2014,10-16 ft,0.068,0.354,106.6
879,Detroit Pistons,2014,Over 16 ft,0.157,0.354,106.6
880,Detroit Pistons,2014,3P,0.222,0.354,106.6
881,Detroit Pistons,2015,0-3 ft,0.323,0.39,106.22
882,Detroit Pistons,2015,3-10 ft,0.192,0.39,106.22
883,Detroit Pistons,2015,10-16 ft,0.065,0.39,106.22
884,Detroit Pistons,2015,Over 16 ft,0.128,0.39,106.22
885,Detroit Pistons,2015,3P,0.29,0.39,106.22
886,Detroit Pistons,2016,0-3 ft,0.294,0.537,106.78
887,Detroit Pistons,2016,3-10 ft,0.184,0.537,106.78
888,Detroit Pistons,2016,10-16 ft,0.104,0.537,106.78
889,Detroit Pistons,2016,Over 16 ft,0.116,0.537,106.78
890,Detroit Pistons,2016,3P,0.303,0.537,106.78
891,Detroit Pistons,2017,0-3 ft,0.25,0.451,106.53
892,Detroit Pistons,2017,3-10 ft,0.189,0.451,106.53
893,Detroit Pistons,2017,10-16 ft,0.141,0.451,106.53
894,Detroit Pistons,2017,Over 16 ft,0.157,0.451,106.53
895,Detroit Pistons,2017,3P,0.263,0.451,106.53
896,Detroit Pistons,2018,0-3 ft,0.26,0.476,107.95
897,Detroit Pistons,2018,3-10 ft,0.185,0.476,107.95
898,Detroit Pistons,2018,10-16 ft,0.107,0.476,107.95
899,Detroit Pistons,2018,Over 16 ft,0.116,0.476,107.95
900,Detroit Pistons,2018,3P,0.333,0.476,107.95
901,Golden State Warriors,2001,0-3 ft,0.24,0.207,98.41
902,Golden State Warriors,2001,3-10 ft,0.226,0.207,98.41
903,Golden State Warriors,2001,10-16 ft,0.159,0.207,98.41
904,Golden State Warriors,2001,Over 16 ft,0.241,0.207,98.41
905,Golden State Warriors,2001,3P,0.134,0.207,98.41
906,Golden State Warriors,2002,0-3 ft,0.297,0.256,103.56
907,Golden State Warriors,2002,3-10 ft,0.235,0.256,103.56
908,Golden State Warriors,2002,10-16 ft,0.111,0.256,103.56
909,Golden State Warriors,2002,Over 16 ft,0.215,0.256,103.56
910,Golden State Warriors,2002,3P,0.142,0.256,103.56
911,Golden State Warriors,2003,0-3 ft,0.271,0.463,109.01
912,Golden State Warriors,2003,3-10 ft,0.207,0.463,109.01
913,Golden State Warriors,2003,10-16 ft,0.123,0.463,109.01
914,Golden State Warriors,2003,Over 16 ft,0.222,0.463,109.01
915,Golden State Warriors,2003,3P,0.178,0.463,109.01
916,Golden State Warriors,2004,0-3 ft,0.272,0.451,103.71
917,Golden State Warriors,2004,3-10 ft,0.196,0.451,103.71
918,Golden State Warriors,2004,10-16 ft,0.117,0.451,103.71
919,Golden State Warriors,2004,Over 16 ft,0.218,0.451,103.71
920,Golden State Warriors,2004,3P,0.197,0.451,103.71
921,Golden State Warriors,2005,0-3 ft,0.254,0.415,105.24
922,Golden State Warriors,2005,3-10 ft,0.155,0.415,105.24
923,Golden State Warriors,2005,10-16 ft,0.092,0.415,105.24
924,Golden State Warriors,2005,Over 16 ft,0.248,0.415,105.24
925,Golden State Warriors,2005,3P,0.252,0.415,105.24
926,Golden State Warriors,2006,0-3 ft,0.283,0.415,105.36
927,Golden State Warriors,2006,3-10 ft,0.152,0.415,105.36
928,Golden State Warriors,2006,10-16 ft,0.083,0.415,105.36
929,Golden State Warriors,2006,Over 16 ft,0.211,0.415,105.36
930,Golden State Warriors,2006,3P,0.27,0.415,105.36
931,Golden State Warriors,2007,0-3 ft,0.338,0.512,107.62
932,Golden State Warriors,2007,3-10 ft,0.135,0.512,107.62
933,Golden State Warriors,2007,10-16 ft,0.077,0.512,107.62
934,Golden State Warriors,2007,Over 16 ft,0.172,0.512,107.62
935,Golden State Warriors,2007,3P,0.279,0.512,107.62
936,Golden State Warriors,2008,0-3 ft,0.345,0.585,112.46
937,Golden State Warriors,2008,3-10 ft,0.121,0.585,112.46
938,Golden State Warriors,2008,10-16 ft,0.068,0.585,112.46
939,Golden State Warriors,2008,Over 16 ft,0.171,0.585,112.46
940,Golden State Warriors,2008,3P,0.295,0.585,112.46
941,Golden State Warriors,2009,0-3 ft,0.308,0.354,109.94
942,Golden State Warriors,2009,3-10 ft,0.138,0.354,109.94
943,Golden State Warriors,2009,10-16 ft,0.092,0.354,109.94
944,Golden State Warriors,2009,Over 16 ft,0.252,0.354,109.94
945,Golden State Warriors,2009,3P,0.209,0.354,109.94
946,Golden State Warriors,2010,0-3 ft,0.298,0.317,108.7
947,Golden State Warriors,2010,3-10 ft,0.113,0.317,108.7
948,Golden State Warriors,2010,10-16 ft,0.095,0.317,108.7
949,Golden State Warriors,2010,Over 16 ft,0.256,0.317,108.7
950,Golden State Warriors,2010,3P,0.238,0.317,108.7
951,Golden State Warriors,2011,0-3 ft,0.276,0.439,108.96
952,Golden State Warriors,2011,3-10 ft,0.169,0.439,108.96
953,Golden State Warriors,2011,10-16 ft,0.093,0.439,108.96
954,Golden State Warriors,2011,Over 16 ft,0.214,0.439,108.96
955,Golden State Warriors,2011,3P,0.248,0.439,108.96
956,Golden State Warriors,2012,0-3 ft,0.259,0.348,105.97
957,Golden State Warriors,2012,3-10 ft,0.166,0.348,105.97
958,Golden State Warriors,2012,10-16 ft,0.091,0.348,105.97
959,Golden State Warriors,2012,Over 16 ft,0.236,0.348,105.97
960,Golden State Warriors,2012,3P,0.248,0.348,105.97
961,Golden State Warriors,2013,0-3 ft,0.242,0.573,107.1
962,Golden State Warriors,2013,3-10 ft,0.173,0.573,107.1
963,Golden State Warriors,2013,10-16 ft,0.118,0.573,107.1
964,Golden State Warriors,2013,Over 16 ft,0.229,0.573,107.1
965,Golden State Warriors,2013,3P,0.239,0.573,107.1
966,Golden State Warriors,2014,0-3 ft,0.264,0.622,108.05
967,Golden State Warriors,2014,3-10 ft,0.176,0.622,108.05
968,Golden State Warriors,2014,10-16 ft,0.1,0.622,108.05
969,Golden State Warriors,2014,Over 16 ft,0.169,0.622,108.05
970,Golden State Warriors,2014,3P,0.291,0.622,108.05
971,Golden State Warriors,2015,0-3 ft,0.286,0.817,112.18
972,Golden State Warriors,2015,3-10 ft,0.145,0.817,112.18
973,Golden State Warriors,2015,10-16 ft,0.104,0.817,112.18
974,Golden State Warriors,2015,Over 16 ft,0.154,0.817,112.18
975,Golden State Warriors,2015,3P,0.311,0.817,112.18
976,Golden State Warriors,2016,0-3 ft,0.301,0.89,115.18
977,Golden State Warriors,2016,3-10 ft,0.125,0.89,115.18
978,Golden State Warriors,2016,10-16 ft,0.093,0.89,115.18
979,Golden State Warriors,2016,Over 16 ft,0.119,0.89,115.18
980,Golden State Warriors,2016,3P,0.362,0.89,115.18
981,Golden State Warriors,2017,0-3 ft,0.303,0.817,116.26
982,Golden State Warriors,2017,3-10 ft,0.102,0.817,116.26
983,Golden State Warriors,2017,10-16 ft,0.107,0.817,116.26
984,Golden State Warriors,2017,Over 16 ft,0.129,0.817,116.26
985,Golden State Warriors,2017,3P,0.359,0.817,116.26
986,Golden State Warriors,2018,0-3 ft,0.267,0.707,114.31
987,Golden State Warriors,2018,3-10 ft,0.111,0.707,114.31
988,Golden State Warriors,2018,10-16 ft,0.139,0.707,114.31
989,Golden State Warriors,2018,Over 16 ft,0.144,0.707,114.31
990,Golden State Warriors,2018,3P,0.339,0.707,114.31
991,Houston Rockets,2001,0-3 ft,0.306,0.549,107.6
992,Houston Rockets,2001,3-10 ft,0.141,0.549,107.6
993,Houston Rockets,2001,10-16 ft,0.133,0.549,107.6
994,Houston Rockets,2001,Over 16 ft,0.204,0.549,107.6
995,Houston Rockets,2001,3P,0.217,0.549,107.6
996,Houston Rockets,2002,0-3 ft,0.295,0.341,103.93
997,Houston Rockets,2002,3-10 ft,0.108,0.341,103.93
998,Houston Rockets,2002,10-16 ft,0.103,0.341,103.93
999,Houston Rockets,2002,Over 16 ft,0.271,0.341,103.93
1000,Houston Rockets,2002,3P,0.223,0.341,103.93
1001,Houston Rockets,2003,0-3 ft,0.305,0.524,104.96
1002,Houston Rockets,2003,3-10 ft,0.145,0.524,104.96
1003,Houston Rockets,2003,10-16 ft,0.126,0.524,104.96
1004,Houston Rockets,2003,Over 16 ft,0.229,0.524,104.96
1005,Houston Rockets,2003,3P,0.196,0.524,104.96
1006,Houston Rockets,2004,0-3 ft,0.268,0.549,101.8
1007,Houston Rockets,2004,3-10 ft,0.153,0.549,101.8
1008,Houston Rockets,2004,10-16 ft,0.141,0.549,101.8
1009,Houston Rockets,2004,Over 16 ft,0.211,0.549,101.8
1010,Houston Rockets,2004,3P,0.227,0.549,101.8
1011,Houston Rockets,2005,0-3 ft,0.254,0.622,107.03
1012,Houston Rockets,2005,3-10 ft,0.134,0.622,107.03
1013,Houston Rockets,2005,10-16 ft,0.119,0.622,107.03
1014,Houston Rockets,2005,Over 16 ft,0.256,0.622,107.03
1015,Houston Rockets,2005,3P,0.237,0.622,107.03
1016,Houston Rockets,2006,0-3 ft,0.281,0.415,102.41
1017,Houston Rockets,2006,3-10 ft,0.151,0.415,102.41
1018,Houston Rockets,2006,10-16 ft,0.118,0.415,102.41
1019,Houston Rockets,2006,Over 16 ft,0.225,0.415,102.41
1020,Houston Rockets,2006,3P,0.226,0.415,102.41
1021,Houston Rockets,2007,0-3 ft,0.276,0.634,106.64
1022,Houston Rockets,2007,3-10 ft,0.145,0.634,106.64
1023,Houston Rockets,2007,10-16 ft,0.104,0.634,106.64
1024,Houston Rockets,2007,Over 16 ft,0.185,0.634,106.64
1025,Houston Rockets,2007,3P,0.29,0.634,106.64
1026,Houston Rockets,2008,0-3 ft,0.315,0.671,107.47
1027,Houston Rockets,2008,3-10 ft,0.127,0.671,107.47
1028,Houston Rockets,2008,10-16 ft,0.096,0.671,107.47
1029,Houston Rockets,2008,Over 16 ft,0.206,0.671,107.47
1030,Houston Rockets,2008,3P,0.255,0.671,107.47
1031,Houston Rockets,2009,0-3 ft,0.309,0.646,109.22
1032,Houston Rockets,2009,3-10 ft,0.16,0.646,109.22
1033,Houston Rockets,2009,10-16 ft,0.111,0.646,109.22
1034,Houston Rockets,2009,Over 16 ft,0.166,0.646,109.22
1035,Houston Rockets,2009,3P,0.254,0.646,109.22
1036,Houston Rockets,2010,0-3 ft,0.346,0.512,108.37
1037,Houston Rockets,2010,3-10 ft,0.134,0.512,108.37
1038,Houston Rockets,2010,10-16 ft,0.089,0.512,108.37
1039,Houston Rockets,2010,Over 16 ft,0.165,0.512,108.37
1040,Houston Rockets,2010,3P,0.265,0.512,108.37
1041,Houston Rockets,2011,0-3 ft,0.263,0.524,112.02
1042,Houston Rockets,2011,3-10 ft,0.203,0.524,112.02
1043,Houston Rockets,2011,10-16 ft,0.092,0.524,112.02
1044,Houston Rockets,2011,Over 16 ft,0.177,0.524,112.02
1045,Houston Rockets,2011,3P,0.264,0.524,112.02
1046,Houston Rockets,2012,0-3 ft,0.25,0.515,106.42
1047,Houston Rockets,2012,3-10 ft,0.202,0.515,106.42
1048,Houston Rockets,2012,10-16 ft,0.12,0.515,106.42
1049,Houston Rockets,2012,Over 16 ft,0.189,0.515,106.42
1050,Houston Rockets,2012,3P,0.24,0.515,106.42
1051,Houston Rockets,2013,0-3 ft,0.341,0.549,110.42
1052,Houston Rockets,2013,3-10 ft,0.156,0.549,110.42
1053,Houston Rockets,2013,10-16 ft,0.048,0.549,110.42
1054,Houston Rockets,2013,Over 16 ft,0.106,0.549,110.42
1055,Houston Rockets,2013,3P,0.349,0.549,110.42
1056,Houston Rockets,2014,0-3 ft,0.341,0.659,111.72
1057,Houston Rockets,2014,3-10 ft,0.214,0.659,111.72
1058,Houston Rockets,2014,10-16 ft,0.049,0.659,111.72
1059,Houston Rockets,2014,Over 16 ft,0.065,0.659,111.72
1060,Houston Rockets,2014,3P,0.33,0.659,111.72
1061,Houston Rockets,2015,0-3 ft,0.309,0.683,107.87
1062,Houston Rockets,2015,3-10 ft,0.184,0.683,107.87
1063,Houston Rockets,2015,10-16 ft,0.047,0.683,107.87
1064,Houston Rockets,2015,Over 16 ft,0.068,0.683,107.87
1065,Houston Rockets,2015,3P,0.392,0.683,107.87
1066,Houston Rockets,2016,0-3 ft,0.321,0.5,109.23
1067,Houston Rockets,2016,3-10 ft,0.164,0.5,109.23
1068,Houston Rockets,2016,10-16 ft,0.064,0.5,109.23
1069,Houston Rockets,2016,Over 16 ft,0.082,0.5,109.23
1070,Houston Rockets,2016,3P,0.37,0.5,109.23
1071,Houston Rockets,2017,0-3 ft,0.321,0.671,115.59
1072,Houston Rockets,2017,3-10 ft,0.125,0.671,115.59
1073,Houston Rockets,2017,10-16 ft,0.041,0.671,115.59
1074,Houston Rockets,2017,Over 16 ft,0.05,0.671,115.59
1075,Houston Rockets,2017,3P,0.462,0.671,115.59
1076,Houston Rockets,2018,0-3 ft,0.288,0.793,115.48
1077,Houston Rockets,2018,3-10 ft,0.103,0.793,115.48
1078,Houston Rockets,2018,10-16 ft,0.062,0.793,115.48
1079,Houston Rockets,2018,Over 16 ft,0.044,0.793,115.48
1080,Houston Rockets,2018,3P,0.502,0.793,115.48
1081,Indiana Pacers,2001,0-3 ft,0.221,0.5,102.91
1082,Indiana Pacers,2001,3-10 ft,0.201,0.5,102.91
1083,Indiana Pacers,2001,10-16 ft,0.157,0.5,102.91
1084,Indiana Pacers,2001,Over 16 ft,0.241,0.5,102.91
1085,Indiana Pacers,2001,3P,0.18,0.5,102.91
1086,Indiana Pacers,2002,0-3 ft,0.236,0.512,105.09
1087,Indiana Pacers,2002,3-10 ft,0.193,0.512,105.09
1088,Indiana Pacers,2002,10-16 ft,0.168,0.512,105.09
1089,Indiana Pacers,2002,Over 16 ft,0.222,0.512,105.09
1090,Indiana Pacers,2002,3P,0.182,0.512,105.09
1091,Indiana Pacers,2003,0-3 ft,0.278,0.585,105.28
1092,Indiana Pacers,2003,3-10 ft,0.163,0.585,105.28
1093,Indiana Pacers,2003,10-16 ft,0.163,0.585,105.28
1094,Indiana Pacers,2003,Over 16 ft,0.226,0.585,105.28
1095,Indiana Pacers,2003,3P,0.169,0.585,105.28
1096,Indiana Pacers,2004,0-3 ft,0.288,0.744,104.77
1097,Indiana Pacers,2004,3-10 ft,0.156,0.744,104.77
1098,Indiana Pacers,2004,10-16 ft,0.157,0.744,104.77
1099,Indiana Pacers,2004,Over 16 ft,0.196,0.744,104.77
1100,Indiana Pacers,2004,3P,0.203,0.744,104.77
1101,Indiana Pacers,2005,0-3 ft,0.27,0.537,106.46
1102,Indiana Pacers,2005,3-10 ft,0.14,0.537,106.46
1103,Indiana Pacers,2005,10-16 ft,0.137,0.537,106.46
1104,Indiana Pacers,2005,Over 16 ft,0.199,0.537,106.46
1105,Indiana Pacers,2005,3P,0.255,0.537,106.46
1106,Indiana Pacers,2006,0-3 ft,0.283,0.5,105.3
1107,Indiana Pacers,2006,3-10 ft,0.141,0.5,105.3
1108,Indiana Pacers,2006,10-16 ft,0.133,0.5,105.3
1109,Indiana Pacers,2006,Over 16 ft,0.198,0.5,105.3
1110,Indiana Pacers,2006,3P,0.245,0.5,105.3
1111,Indiana Pacers,2007,0-3 ft,0.272,0.427,103.7
1112,Indiana Pacers,2007,3-10 ft,0.158,0.427,103.7
1113,Indiana Pacers,2007,10-16 ft,0.146,0.427,103.7
1114,Indiana Pacers,2007,Over 16 ft,0.213,0.427,103.7
1115,Indiana Pacers,2007,3P,0.212,0.427,103.7
1116,Indiana Pacers,2008,0-3 ft,0.246,0.439,106.69
1117,Indiana Pacers,2008,3-10 ft,0.138,0.439,106.69
1118,Indiana Pacers,2008,10-16 ft,0.111,0.439,106.69
1119,Indiana Pacers,2008,Over 16 ft,0.216,0.439,106.69
1120,Indiana Pacers,2008,3P,0.289,0.439,106.69
1121,Indiana Pacers,2009,0-3 ft,0.295,0.439,108.76
1122,Indiana Pacers,2009,3-10 ft,0.135,0.439,108.76
1123,Indiana Pacers,2009,10-16 ft,0.103,0.439,108.76
1124,Indiana Pacers,2009,Over 16 ft,0.223,0.439,108.76
1125,Indiana Pacers,2009,3P,0.244,0.439,108.76
1126,Indiana Pacers,2010,0-3 ft,0.28,0.39,104.6
1127,Indiana Pacers,2010,3-10 ft,0.135,0.39,104.6
1128,Indiana Pacers,2010,10-16 ft,0.098,0.39,104.6
1129,Indiana Pacers,2010,Over 16 ft,0.209,0.39,104.6
1130,Indiana Pacers,2010,3P,0.278,0.39,104.6
1131,Indiana Pacers,2011,0-3 ft,0.245,0.451,105.53
1132,Indiana Pacers,2011,3-10 ft,0.182,0.451,105.53
1133,Indiana Pacers,2011,10-16 ft,0.116,0.451,105.53
1134,Indiana Pacers,2011,Over 16 ft,0.213,0.451,105.53
1135,Indiana Pacers,2011,3P,0.244,0.451,105.53
1136,Indiana Pacers,2012,0-3 ft,0.269,0.636,107.63
1137,Indiana Pacers,2012,3-10 ft,0.219,0.636,107.63
1138,Indiana Pacers,2012,10-16 ft,0.127,0.636,107.63
1139,Indiana Pacers,2012,Over 16 ft,0.187,0.636,107.63
1140,Indiana Pacers,2012,3P,0.198,0.636,107.63
1141,Indiana Pacers,2013,0-3 ft,0.271,0.605,104.87
1142,Indiana Pacers,2013,3-10 ft,0.19,0.605,104.87
1143,Indiana Pacers,2013,10-16 ft,0.116,0.605,104.87
1144,Indiana Pacers,2013,Over 16 ft,0.178,0.605,104.87
1145,Indiana Pacers,2013,3P,0.245,0.605,104.87
1146,Indiana Pacers,2014,0-3 ft,0.249,0.683,104.7
1147,Indiana Pacers,2014,3-10 ft,0.188,0.683,104.7
1148,Indiana Pacers,2014,10-16 ft,0.124,0.683,104.7
1149,Indiana Pacers,2014,Over 16 ft,0.205,0.683,104.7
1150,Indiana Pacers,2014,3P,0.235,0.683,104.7
1151,Indiana Pacers,2015,0-3 ft,0.244,0.463,104.44
1152,Indiana Pacers,2015,3-10 ft,0.173,0.463,104.44
1153,Indiana Pacers,2015,10-16 ft,0.105,0.463,104.44
1154,Indiana Pacers,2015,Over 16 ft,0.222,0.463,104.44
1155,Indiana Pacers,2015,3P,0.255,0.463,104.44
1156,Indiana Pacers,2016,0-3 ft,0.27,0.549,105.28
1157,Indiana Pacers,2016,3-10 ft,0.133,0.549,105.28
1158,Indiana Pacers,2016,10-16 ft,0.108,0.549,105.28
1159,Indiana Pacers,2016,Over 16 ft,0.219,0.549,105.28
1160,Indiana Pacers,2016,3P,0.27,0.549,105.28
1161,Indiana Pacers,2017,0-3 ft,0.241,0.512,109.33
1162,Indiana Pacers,2017,3-10 ft,0.186,0.512,109.33
1163,Indiana Pacers,2017,10-16 ft,0.107,0.512,109.33
1164,Indiana Pacers,2017,Over 16 ft,0.194,0.512,109.33
1165,Indiana Pacers,2017,3P,0.272,0.512,109.33
1166,Indiana Pacers,2018,0-3 ft,0.293,0.585,110.24
1167,Indiana Pacers,2018,3-10 ft,0.136,0.585,110.24
1168,Indiana Pacers,2018,10-16 ft,0.096,0.585,110.24
1169,Indiana Pacers,2018,Over 16 ft,0.191,0.585,110.24
1170,Indiana Pacers,2018,3P,0.284,0.585,110.24
1171,Los Angeles Clippers,2001,0-3 ft,0.273,0.378,102.25
1172,Los Angeles Clippers,2001,3-10 ft,0.226,0.378,102.25
1173,Los Angeles Clippers,2001,10-16 ft,0.152,0.378,102.25
1174,Los Angeles Clippers,2001,Over 16 ft,0.184,0.378,102.25
1175,Los Angeles Clippers,2001,3P,0.164,0.378,102.25
1176,Los Angeles Clippers,2002,0-3 ft,0.261,0.476,106.49
1177,Los Angeles Clippers,2002,3-10 ft,0.23,0.476,106.49
1178,Los Angeles Clippers,2002,10-16 ft,0.184,0.476,106.49
1179,Los Angeles Clippers,2002,Over 16 ft,0.153,0.476,106.49
1180,Los Angeles Clippers,2002,3P,0.172,0.476,106.49
1181,Los Angeles Clippers,2003,0-3 ft,0.317,0.329,103
1182,Los Angeles Clippers,2003,3-10 ft,0.194,0.329,103
1183,Los Angeles Clippers,2003,10-16 ft,0.137,0.329,103
1184,Los Angeles Clippers,2003,Over 16 ft,0.17,0.329,103
1185,Los Angeles Clippers,2003,3P,0.182,0.329,103
1186,Los Angeles Clippers,2004,0-3 ft,0.341,0.341,104.3
1187,Los Angeles Clippers,2004,3-10 ft,0.155,0.341,104.3
1188,Los Angeles Clippers,2004,10-16 ft,0.13,0.341,104.3
1189,Los Angeles Clippers,2004,Over 16 ft,0.218,0.341,104.3
1190,Los Angeles Clippers,2004,3P,0.156,0.341,104.3
1191,Los Angeles Clippers,2005,0-3 ft,0.298,0.451,106.76
1192,Los Angeles Clippers,2005,3-10 ft,0.151,0.451,106.76
1193,Los Angeles Clippers,2005,10-16 ft,0.156,0.451,106.76
1194,Los Angeles Clippers,2005,Over 16 ft,0.29,0.451,106.76
1195,Los Angeles Clippers,2005,3P,0.105,0.451,106.76
1196,Los Angeles Clippers,2006,0-3 ft,0.248,0.573,106.09
1197,Los Angeles Clippers,2006,3-10 ft,0.174,0.573,106.09
1198,Los Angeles Clippers,2006,10-16 ft,0.206,0.573,106.09
1199,Los Angeles Clippers,2006,Over 16 ft,0.242,0.573,106.09
1200,Los Angeles Clippers,2006,3P,0.131,0.573,106.09
1201,Los Angeles Clippers,2007,0-3 ft,0.252,0.488,105.9
1202,Los Angeles Clippers,2007,3-10 ft,0.157,0.488,105.9
1203,Los Angeles Clippers,2007,10-16 ft,0.194,0.488,105.9
1204,Los Angeles Clippers,2007,Over 16 ft,0.255,0.488,105.9
1205,Los Angeles Clippers,2007,3P,0.143,0.488,105.9
1206,Los Angeles Clippers,2008,0-3 ft,0.261,0.28,101.63
1207,Los Angeles Clippers,2008,3-10 ft,0.128,0.28,101.63
1208,Los Angeles Clippers,2008,10-16 ft,0.153,0.28,101.63
1209,Los Angeles Clippers,2008,Over 16 ft,0.291,0.28,101.63
1210,Los Angeles Clippers,2008,3P,0.167,0.28,101.63
1211,Los Angeles Clippers,2009,0-3 ft,0.336,0.232,102.87
1212,Los Angeles Clippers,2009,3-10 ft,0.119,0.232,102.87
1213,Los Angeles Clippers,2009,10-16 ft,0.102,0.232,102.87
1214,Los Angeles Clippers,2009,Over 16 ft,0.218,0.232,102.87
1215,Los Angeles Clippers,2009,3P,0.226,0.232,102.87
1216,Los Angeles Clippers,2010,0-3 ft,0.341,0.354,104.07
1217,Los Angeles Clippers,2010,3-10 ft,0.113,0.354,104.07
1218,Los Angeles Clippers,2010,10-16 ft,0.117,0.354,104.07
1219,Los Angeles Clippers,2010,Over 16 ft,0.208,0.354,104.07
1220,Los Angeles Clippers,2010,3P,0.221,0.354,104.07
1221,Los Angeles Clippers,2011,0-3 ft,0.307,0.39,106.24
1222,Los Angeles Clippers,2011,3-10 ft,0.199,0.39,106.24
1223,Los Angeles Clippers,2011,10-16 ft,0.081,0.39,106.24
1224,Los Angeles Clippers,2011,Over 16 ft,0.183,0.39,106.24
1225,Los Angeles Clippers,2011,3P,0.23,0.39,106.24
1226,Los Angeles Clippers,2012,0-3 ft,0.256,0.606,109.49
1227,Los Angeles Clippers,2012,3-10 ft,0.159,0.606,109.49
1228,Los Angeles Clippers,2012,10-16 ft,0.083,0.606,109.49
1229,Los Angeles Clippers,2012,Over 16 ft,0.234,0.606,109.49
1230,Los Angeles Clippers,2012,3P,0.269,0.606,109.49
1231,Los Angeles Clippers,2013,0-3 ft,0.281,0.683,111.62
1232,Los Angeles Clippers,2013,3-10 ft,0.17,0.683,111.62
1233,Los Angeles Clippers,2013,10-16 ft,0.089,0.683,111.62
1234,Los Angeles Clippers,2013,Over 16 ft,0.195,0.683,111.62
1235,Los Angeles Clippers,2013,3P,0.265,0.683,111.62
1236,Los Angeles Clippers,2014,0-3 ft,0.267,0.695,112.89
1237,Los Angeles Clippers,2014,3-10 ft,0.137,0.695,112.89
1238,Los Angeles Clippers,2014,10-16 ft,0.097,0.695,112.89
1239,Los Angeles Clippers,2014,Over 16 ft,0.208,0.695,112.89
1240,Los Angeles Clippers,2014,3P,0.291,0.695,112.89
1241,Los Angeles Clippers,2015,0-3 ft,0.241,0.683,113.21
1242,Los Angeles Clippers,2015,3-10 ft,0.119,0.683,113.21
1243,Los Angeles Clippers,2015,10-16 ft,0.096,0.683,113.21
1244,Los Angeles Clippers,2015,Over 16 ft,0.217,0.683,113.21
1245,Los Angeles Clippers,2015,3P,0.322,0.683,113.21
1246,Los Angeles Clippers,2016,0-3 ft,0.239,0.646,109.04
1247,Los Angeles Clippers,2016,3-10 ft,0.129,0.646,109.04
1248,Los Angeles Clippers,2016,10-16 ft,0.093,0.646,109.04
1249,Los Angeles Clippers,2016,Over 16 ft,0.215,0.646,109.04
1250,Los Angeles Clippers,2016,3P,0.324,0.646,109.04
1251,Los Angeles Clippers,2017,0-3 ft,0.275,0.622,113.38
1252,Los Angeles Clippers,2017,3-10 ft,0.118,0.622,113.38
1253,Los Angeles Clippers,2017,10-16 ft,0.081,0.622,113.38
1254,Los Angeles Clippers,2017,Over 16 ft,0.197,0.622,113.38
1255,Los Angeles Clippers,2017,3P,0.329,0.622,113.38
1256,Los Angeles Clippers,2018,0-3 ft,0.347,0.512,110.97
1257,Los Angeles Clippers,2018,3-10 ft,0.164,0.512,110.97
1258,Los Angeles Clippers,2018,10-16 ft,0.083,0.512,110.97
1259,Los Angeles Clippers,2018,Over 16 ft,0.091,0.512,110.97
1260,Los Angeles Clippers,2018,3P,0.314,0.512,110.97
1261,Los Angeles Lakers,2001,0-3 ft,0.285,0.683,109.15
1262,Los Angeles Lakers,2001,3-10 ft,0.186,0.683,109.15
1263,Los Angeles Lakers,2001,10-16 ft,0.137,0.683,109.15
1264,Los Angeles Lakers,2001,Over 16 ft,0.201,0.683,109.15
1265,Los Angeles Lakers,2001,3P,0.191,0.683,109.15
1266,Los Angeles Lakers,2002,0-3 ft,0.28,0.707,110.29
1267,Los Angeles Lakers,2002,3-10 ft,0.167,0.707,110.29
1268,Los Angeles Lakers,2002,10-16 ft,0.137,0.707,110.29
1269,Los Angeles Lakers,2002,Over 16 ft,0.206,0.707,110.29
1270,Los Angeles Lakers,2002,3P,0.21,0.707,110.29
1271,Los Angeles Lakers,2003,0-3 ft,0.283,0.61,107.96
1272,Los Angeles Lakers,2003,3-10 ft,0.158,0.61,107.96
1273,Los Angeles Lakers,2003,10-16 ft,0.133,0.61,107.96
1274,Los Angeles Lakers,2003,Over 16 ft,0.225,0.61,107.96
1275,Los Angeles Lakers,2003,3P,0.199,0.61,107.96
1276,Los Angeles Lakers,2004,0-3 ft,0.326,0.683,106.23
1277,Los Angeles Lakers,2004,3-10 ft,0.143,0.683,106.23
1278,Los Angeles Lakers,2004,10-16 ft,0.126,0.683,106.23
1279,Los Angeles Lakers,2004,Over 16 ft,0.238,0.683,106.23
1280,Los Angeles Lakers,2004,3P,0.167,0.683,106.23
1281,Los Angeles Lakers,2005,0-3 ft,0.329,0.415,108.86
1282,Los Angeles Lakers,2005,3-10 ft,0.118,0.415,108.86
1283,Los Angeles Lakers,2005,10-16 ft,0.092,0.415,108.86
1284,Los Angeles Lakers,2005,Over 16 ft,0.188,0.415,108.86
1285,Los Angeles Lakers,2005,3P,0.273,0.415,108.86
1286,Los Angeles Lakers,2006,0-3 ft,0.304,0.549,109.26
1287,Los Angeles Lakers,2006,3-10 ft,0.121,0.549,109.26
1288,Los Angeles Lakers,2006,10-16 ft,0.106,0.549,109.26
1289,Los Angeles Lakers,2006,Over 16 ft,0.229,0.549,109.26
1290,Los Angeles Lakers,2006,3P,0.24,0.549,109.26
